【合租】南延线 中德英伦联邦 5室主卧,中德英伦联邦,1100,http://cd.58.com/pinpaigongyu/30089813314616x.shtml
【合租】天府长城 长城·半岛城邦 5室主卧,长城·半岛城邦,1400,http://cd.58.com/pinpaigongyu/30081042827188x.shtml
【整租】世纪城 仁美大源印象 1室1厅,仁美大源印象,1500,http://cd.58.com/pinpaigongyu/29889658160576x.shtml
【整租】冠寓 犀浦 龙湖时代天街,犀浦,1200-1500,http://cd.58.com/pinpaigongyu/29163499829048x.shtml
【合租】理想中心 时代晶科名苑 4室主卧,时代晶科名苑,1450,http://cd.58.com/pinpaigongyu/30112061605441x.shtml
【合租】南苑 天府世家 5室次卧,天府世家,1100,http://cd.58.com/pinpaigongyu/29803737980863x.shtml
【合租】外光华 保利香槟光华 5室主卧,保利香槟光华,1000,http://cd.58.com/pinpaigongyu/29990344284731x.shtml
【整租】优家公寓 大源村 YOU+大源,大源村,1346-1600,http://cd.58.com/pinpaigongyu/30058845082949x.shtml
【整租】航空港 新和领航 1室1厅,新和领航,1500,http://cd.58.com/pinpaigongyu/29806589552205x.shtml
【合租】孵化园 天府欣苑 5室次卧,天府欣苑,1300,http://cd.58.com/pinpaigongyu/29702279962037x.shtml
【整租】一品天下 水岸汇景 1室0厅,水岸汇景,1500,http://cd.58.com/pinpaigongyu/30035135182287x.shtml
【合租】蜀汉路 凯丽豪景 3室主卧,凯丽豪景,1050,http://cd.58.com/pinpaigongyu/29936131302575x.shtml
【合租】九眼桥 世纪朝阳 4室次卧,世纪朝阳,1100,http://cd.58.com/pinpaigongyu/30134724354226x.shtml
【合租】春熙路 塔子山壹号 4室主卧,塔子山壹号,1180,http://cd.58.com/pinpaigongyu/30144878540610x.shtml
【合租】东升镇 美城悦荣府 4室主卧,美城悦荣府,1000,http://cd.58.com/pinpaigongyu/30068074561843x.shtml
【合租】九眼桥 阳光新业中心3号 4室次卧,阳光新业中心3号,1200,http://cd.58.com/pinpaigongyu/30088250451511x.shtml
【合租】营门口 为民新居 3室次卧,为民新居,1050,http://cd.58.com/pinpaigongyu/30134215107150x.shtml
【合租】东升镇 美城悦荣府 5室主卧,美城悦荣府,1000,http://cd.58.com/pinpaigongyu/30068143538760x.shtml
【合租】华阳 慕和南道 5室主卧,慕和南道,1000,http://cd.58.com/pinpaigongyu/30068173327556x.shtml
【合租】营门口 为民新居 5室次卧,为民新居,1050,http://cd.58.com/pinpaigongyu/30123828443965x.shtml
【合租】攀成钢 天曜 4室次卧,天曜,1000,http://cd.58.com/pinpaigongyu/30080291583943x.shtml
【合租】南延线 嘉祥瑞庭南城 4室主卧,嘉祥瑞庭南城,1060,http://cd.58.com/pinpaigongyu/30135852487373x.shtml
【整租】冠寓 犀浦 龙湖时代天街,犀浦,1200-1500,http://cd.58.com/pinpaigongyu/29163499829048x.shtml
【整租】外光华 元益花园 1室0厅,元益花园,1500,http://cd.58.com/pinpaigongyu/29761037768899x.shtml
【整租】世纪城 仁美大源印象 1室1厅,仁美大源印象,1500,http://cd.58.com/pinpaigongyu/29911758932789x.shtml
【合租】外光华 中铁瑞景颐城 4室主卧,中铁瑞景颐城,1000,http://cd.58.com/pinpaigongyu/29967832719163x.shtml
【整租】优家公寓 大源村 YOU+大源,大源村,1346-1600,http://cd.58.com/pinpaigongyu/30058845082949x.shtml
